objectid,wd18cd,wd18nm,wd18nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
7393,E05011494,Burton & Crooklands, ,354781,477312,-2.69447,54.189579,81587920.7277931,55501.4191867008
7394,E05011495,Cartmel, ,337702,481717,-2.95709,54.227371,76635161.6058127,76273.35494239
7395,E05011496,Furness Peninsula, ,328031,473157,-3.10335,54.149181,72652604.8945792,59747.0721769869
7396,E05011497,Grange, ,339838,477228,-2.92343,54.187279,14322152.756327,27165.4893795248
7397,E05011498,Kendal East, ,352947,493031,-2.72506,54.330669,5009136.44023738,10956.3013467589
7398,E05011499,Kendal North, ,351083,493936,-2.75387,54.338631,1318922.90359342,4694.28749359509
7399,E05011500,Kendal Rural, ,353009,498455,-2.72496,54.379421,288481633.489258,103246.728086043
7400,E05011501,Kendal South & Natland, ,352382,489895,-2.73324,54.302441,6703590.47297942,14033.3558712716
7401,E05011502,Kendal Town, ,351448,492689,-2.74805,54.32745,4220071.56881195,13194.8423864216
7402,E05011503,Kendal West, ,351201,491391,-2.75163,54.315769,1716659.81556569,6370.06168494228
7403,E05011504,Sedbergh & Kirkby Lonsdale, ,368850,489783,-2.48018,54.3027,302011894.544899,88123.3563416462
7404,E05011505,Ulverston East, ,329944,477747,-3.07514,54.190689,6250373.22389659,12241.8306615887
7405,E05011506,Ulverston West, ,327955,477733,-3.10562,54.190289,6754574.10088794,16750.2487708648
7406,E05011507,Windermere, ,341307,499716,-2.90535,54.38953,26778567.9484655,31050.6299233681
7407,E05011508,Audley & Queen's Park, ,369830,427602,-2.45892,53.743931,1990959.15868695,6612.80881223019
7408,E05011509,Bastwell & Daisyfield, ,368836,428898,-2.47412,53.755508,899542.52496335,3991.91857873564
7409,E05011510,Billinge & Beardwood, ,366509,429340,-2.50946,53.759338,5285100.34323595,11408.3499514935
7410,E05011511,Blackburn Central, ,368186,427646,-2.48385,53.744221,3116426.90560166,7578.8392072354
7411,E05011512,Blackburn South & Lower Darwen, ,368622,425123,-2.47698,53.721569,3300557.44893324,9648.19865070287
7412,E05011513,Blackburn South East, ,369570,426339,-2.46274,53.732559,4409587.1975048,11983.2281784838
7413,E05011514,Darwen East, ,369394,422793,-2.46505,53.70068,2603577.42943481,8089.6797559652
7414,E05011515,Darwen South, ,368895,420772,-2.47241,53.68248,7530472.92975388,16378.4175250744
7415,E05011516,Darwen West, ,366775,421744,-2.50461,53.69109,15121383.4560731,17166.3753539957
7416,E05011517,Ewood, ,367612,425941,-2.49237,53.728859,2338832.48297126,10006.4526875161
7417,E05011518,Little Harwood & Whitebirk, ,370009,429682,-2.45641,53.76263,3195764.39715947,8969.75411319497
7418,E05011519,Livesey with Pleasington, ,364879,426792,-2.53389,53.736328,11272820.8095394,16561.7104794151
7419,E05011520,Mill Hill & Moorgate, ,366764,426646,-2.5053,53.735149,1622663.85667775,5913.12221587173
7420,E05011521,Roe Lee, ,368774,430602,-2.47524,53.770828,3241079.15349437,8809.23303389392
7421,E05011522,Shear Brow & Corporation Park, ,367614,428995,-2.49266,53.75631,1101826.97920874,4359.74876150103
7422,E05011523,Wensley Fold, ,367004,427926,-2.5018,53.74667,952028.50889956,4536.35360974636
7423,E05011524,West Pennine, ,370526,418078,-2.44746,53.658371,69376537.2379189,53600.9490991379
7424,E05011525,Avenue, ,507907,429877,-0.3649,53.754108,2308962.12545865,6773.5921366812
7425,E05011526,Beverley & Newland, ,509014,431597,-0.34751,53.769329,3637055.29334952,11628.0098843206
7426,E05011527,Boothferry, ,505933,428995,-0.39513,53.74659,2714623.27408988,8085.81541431344
7427,E05011528,Bricknell, ,506876,430678,-0.38026,53.76152,2867786.33011965,6881.32009545531
7428,E05011529,Central, ,509018,429819,-0.34808,53.753361,2819727.19248255,9611.78771017496
7429,E05011530,Derringham, ,505179,430323,-0.40611,53.758671,2200405.01002822,7068.52728391039
7430,E05011531,Drypool, ,510801,429525,-0.32116,53.75034,3947931.03290835,9339.97420173789
7431,E05011532,Holderness, ,511332,431683,-0.31233,53.769619,4350533.17001498,10180.5630361717
7432,E05011533,Ings, ,513005,431966,-0.28686,53.771801,2008137.14131645,6962.13302869536
7433,E05011534,Kingswood, ,509002,434776,-0.34657,53.797901,2533842.39042563,7854.49731077873
7434,E05011535,Longhill & Bilton Grange, ,514421,432411,-0.26522,53.77549,2691463.02670751,7540.37309513477
7435,E05011536,Marfleet, ,514548,429729,-0.26429,53.751369,8564973.79531351,14483.6430373922
7436,E05011537,Newington & Gipsyville, ,506810,428197,-0.38211,53.739239,3773953.56902106,11477.7152176148
7437,E05011538,North Carr, ,510640,435335,-0.32152,53.80257,5284701.04814946,11352.6469727734
7438,E05011539,Orchard Park, ,507101,433305,-0.37593,53.785069,2695104.76725479,7310.52965894004
7439,E05011540,Pickering, ,505302,427045,-0.40536,53.729198,2437138.399002,8306.5306004658
7440,E05011541,St Andrew's & Docklands, ,508299,427920,-0.35965,53.73645,4070696.65953809,11035.1656145406
7441,E05011542,Southcoates, ,512570,430190,-0.2941,53.755939,2875059.37079012,6867.711246245
7442,E05011543,Sutton, ,512455,433188,-0.29475,53.782902,3909435.28553985,10095.4373166109
7443,E05011544,University, ,507373,432239,-0.37218,53.77544,2397961.81443759,7022.69530809398
7444,E05011545,West Carr, ,509859,433719,-0.33395,53.788219,3169133.0609838,6910.24384758007
7445,E05011547,Horsforth, ,422282,438503,-1.66285,53.842312,11470381.6021591,16103.4128632745
7446,E05011549,Otley & Yeadon, ,421043,443236,-1.68135,53.884899,23052602.7707513,27330.8101033222
7447,S13002516,South Kintyre, ,169272,621258,-5.64834,55.43071,380018798.654318,107632.16404591
7448,S13002517,Kintyre and the Islands, ,138387,659678,-6.17158,55.759499,1624158161.24537,684823.019469285
7449,S13002518,Mid Argyll, ,189072,695270,-5.39327,56.103481,820177129.743938,361750.865041257
7450,S13002519,Oban South and the Isles, ,161659,737691,-5.87131,56.470852,1106512414.41454,628152.092444453
7451,S13002520,Oban North and Lorn, ,205523,727148,-5.15265,56.396431,1581955365.61865,523447.713374011
7452,S13002521,Cowal, ,209425,692038,-5.06425,56.083031,847165168.064517,275081.750543881
7453,S13002522,Dunoon, ,212274,672250,-5.00472,55.90662,71669978.4719661,47925.7000611115
7454,S13002523,Isle of Bute, ,205267,664648,-5.11116,55.83564,123456080.471199,77755.2170475717
7455,S13002524,Lomond North, ,229869,694759,-4.73788,56.11517,381029915.291362,151460.437132783
7456,S13002525,Helensburgh Central, ,229196,683097,-4.74125,56.010269,5450233.05126409,10743.691073411
